This files are from WPS Office 2019 Windows version 11.2.0.9255 to use with 11.1.0.8392 Linux Version

SPELLCHECK

af_ZA    Afrikaans
be_BY    Беларуская (Беларусь)
bg_BG    български (България)
bn_BD    Bengali
bs_BA    Bosanski (Bosna i Hercegovina)
ca_ES    Català (Catalunya)
cs_CZ    Čeština (Česko)
da_DK    Dansk (Danmark)
de_DE    Deutsch (Deutschland)
el_GR    Ελληνικά (Ελλάδα)
en_AU    English (Australia)
en_GB    English (United Kingdom)
en_US    English (United States)
es_AR    Español (Argentina)
es_BO    Español (Bolivia)
es_CL    Español (Chile)
es_CO    Español (Colombia)
es_ES    Español (España)
es_MX    Español (México)
es_PR    Español (Puerto Rico)
fr_FR    Français (France)
gd_GB    Gàidhlig (An Rìoghachd Aonaichte)
gl       Galego
gu_IN    Gujarati (India)
hi_IN    Hindi (India)
hr_HR    Hrvatski (Hrvatska)
hu_HU    Magyar (Magyarország)
id_ID    Indonesian
is       íslenska
it_IT    Italiano (Italia)
km_KH    Khmer (Cambodia)
lt_LT    Lietuvių (Lietuva)
ms_MY    Malay (Malaysia)
nb_NO    Norsk (Norge)
ne_NP    Nepali (Nepal)
nl_NL    Nederlands
pl_PL    Polski
pt_BR    Português do Brasil
pt_PT    Portuguê
qu_EC    Shukyachiska Kichwa (Ecuador)
ro_RO    Română (România)
ru_RU    Русский (Россия)
sk_SK    Slovenský (Slovensko)
sl_SI    Slovénščina (Slovenija)
sq_AL    Shqip (Shqipëria)
sr       Српски
sv_SE    Svenska (Sverige)
sw_TZ    Kiswahili (Tanzania)
tr_TR    Türkçe (Türkiye)
uk_UA    Українська (Україна)
vi_VN    Tiếng Việt (Việt Nam)

